RA,DEC,COADD_OBJECT_ID,DNF_ZMC_MOF,DNF_ZMC_SOF,DNF_ZMEAN_MOF,DNF_ZMEAN_SOF,DNF_ZSIGMA_MOF,DNF_ZSIGMA_SOF,EXTENDED_CLASS_MASH_SOF,FLAGS_FOOTPRINT,FLAGS_FOREGROUND,FLAGS_GOLD,SOF_CM_MAG_CORRECTED_G,SOF_CM_MAG_CORRECTED_I,SOF_CM_MAG_CORRECTED_R,SOF_CM_MAG_CORRECTED_Z,SOURCE,Z,ERR_Z,GminusR,GminusI,GminusZ,RminusI,RminusZ,IminusZ,C:objID
33.558167,-4.350948,93874567,0.30259001,0.30259001,0.30318147,0.29951155,0.01392491,0.00721309,3,1,0,0,20.91684402,18.90475227,19.38882003,18.60106239,GAMA,0.3102,-9.999,1.52802399,2.01209175,2.31578163,0.48406776,0.78775764,0.30368988,
35.612485,-5.798331,112109675,0.35468,0.35468,0.35468,0.35468,0.001,0.001,3,1,0,0,20.08853753,19.19702261,19.3706635,18.91531617,GAMA,0.35468,-9.999,0.71787403,0.89151492,1.17322136,0.17364089,0.45534733,0.28170644,
34.609207,-5.576047,104675460,0.38325,0.38325,0.38325,0.38325,0.001,0.001,3,1,0,0,20.28865786,18.32365935,18.8600277,17.98672564,GAMA,0.38325,-9.999,1.42863016,1.96499851,2.30193222,0.53636835,0.87330206,0.33693371,
34.885279,-5.705509,104682385,0.216601,0.216601,0.2220697,0.20292492,0.04723503,0.02949267,3,1,0,0,19.07124535,18.0060958,18.33888765,17.83209533,GAMA,0.21757,-9.999,0.7323577,1.06514955,1.23915002,0.33279185,0.50679232,0.17400047,
34.646026,-5.770969,104685938,0.121295,0.0822392,0.09982434,0.09701748,0.00624168,0.00549673,3,1,0,0,18.19510884,17.42055897,17.67307359,17.29531024,GAMA,0.14921,-9.999,0.52203525,0.77454987,0.8997986,0.25251462,0.37776335,0.12524873,
35.295408,-5.488489,112093429,0.20528001,0.20528001,0.22078329,0.22056521,0.01422164,0.01373514,3,1,0,0,20.0128217,18.67772693,19.12330925,18.43846277,GAMA,0.23191,-9.999,0.88951245,1.33509477,1.57435893,0.44558232,0.68484648,0.23926416,
35.462372,-5.757842,112107405,0.2086,0.2086,0.24737938,0.24694598,0.00879791,0.00646476,3,1,0,0,20.48439767,19.03163569,19.49019184,18.77032241,GAMA,0.2376,-9.999,0.99420583,1.45276198,1.71407526,0.45855615,0.71986943,0.26131328,
34.796405,-4.776664,101807348,0.13973001,0.13973001,0.13973001,0.13973001,0.001,0.001,3,1,0,0,19.82313394,18.5527186,18.89990442,18.31003376,GAMA,0.13973,-9.999,0.92322952,1.27041534,1.51310018,0.34718582,0.58987066,0.24268484,
34.617266,-5.493073,104671224,0.27395001,0.27395001,0.27395001,0.27395001,0.001,0.001,3,1,0,0,19.77040406,18.63362205,18.96537316,18.44758577,GAMA,0.27395,-9.999,0.8050309,1.13678201,1.32281829,0.33175111,0.51778739,0.18603628,
35.195076,-5.578999,112097557,0.22272,0.22272,0.24473718,0.24110675,0.00730273,0.00577455,3,1,0,0,20.28116568,18.50146527,18.95585163,18.18642417,GAMA,0.22585,-9.999,1.32531405,1.77970041,2.09474151,0.45438636,0.76942746,0.3150411,
33.731274,-4.641525,92315281,0.15721001,0.15721001,0.18678972,0.1883149,0.00764803,0.00530294,3,1,0,0,19.89194902,18.24715127,18.76236501,17.8985533,GAMA,0.19642,-9.999,1.12958401,1.64479775,1.99339572,0.51521374,0.86381171,0.34859797,
34.555229,-5.426862,104667979,0.30939999,0.30939999,0.30939999,0.30939999,0.001,0.001,3,1,0,0,20.51799398,18.79428866,19.27296546,18.47255969,GAMA,0.3094,-9.999,1.24502852,1.72370532,2.04543429,0.4786768,0.80040577,0.32172897,
34.663683,-5.28965,101831247,0.377579,0.34629101,0.38086295,0.38267672,0.00724064,0.00620274,3,1,0,0,20.74023794,18.39890424,18.96526896,18.0874077,GAMA,0.37877,-9.999,1.77496898,2.3413337,2.65283024,0.56636472,0.87786126,0.31149654,
35.202083,-5.590847,112098171,0.08905,0.08905,0.08905,0.08905,0.001,0.001,3,1,0,0,19.56488212,18.78941697,19.03197303,18.65784024,GAMA,0.08905,-9.999,0.53290909,0.77546515,0.90704188,0.24255606,0.37413279,0.13157673,
35.484212,-5.200489,110497550,0.37557,0.37557,0.32332355,0.32345828,0.03228616,0.0258082,3,1,0,0,20.31386946,19.05733826,19.37252716,18.78644838,GAMA,0.38684,-9.999,0.9413423,1.2565312,1.52742108,0.3151889,0.58607878,0.27088988,
35.445104,-5.130419,110494126,0.0720108,0.0910531,0.07825177,0.07583151,0.01554346,0.00667704,3,1,0,0,18.55170739,17.9287765,18.12758295,17.81598757,GAMA,0.07395,-9.999,0.42412444,0.62293089,0.73571982,0.19880645,0.31159538,0.11278893,
33.48957,-4.977866,89263084,0.44350001,0.44350001,0.44350001,0.44350001,0.001,0.001,3,1,0,0,21.24305898,18.84256518,19.47402466,18.49251415,GAMA,0.4435,-9.999,1.76903432,2.4004938,2.75054483,0.63145948,0.98151051,0.35005103,
34.327506,-4.306567,101121037,0.44367,0.44367,0.44367,0.44367,0.001,0.001,3,1,0,0,21.13673834,18.98786367,19.56949483,18.57912782,GAMA,0.44367,-9.999,1.56724351,2.14887467,2.55761052,0.58163116,0.99036701,0.40873585,
33.606672,-5.138731,92340791,0.23691,0.23691,0.23691,0.23691,0.001,0.001,3,1,0,0,19.572017,17.89459056,18.33265896,17.59675068,GAMA,0.23691,-9.999,1.23935804,1.67742644,1.97526632,0.4380684,0.73590828,0.29783988,
33.680063,-4.561649,93885803,0.127573,0.127573,0.19396894,0.19546157,0.02580003,0.01735089,3,1,0,0,19.5195137,18.4353054,18.77730922,18.25256904,GAMA,0.19683,-9.999,0.74220448,1.0842083,1.26694466,0.34200382,0.52474018,0.18273636,
33.595096,-4.425674,93878559,0.14839999,0.13779999,0.14874578,0.14540417,0.00632592,0.00836384,3,1,0,0,18.72063582,17.31190862,17.70371129,17.02710683,GAMA,0.14251,-9.999,1.01692453,1.4087272,1.69352899,0.39180267,0.67660446,0.28480179,
35.546313,-5.723614,112105429,0.28061,0.28061,0.28684503,0.29530108,0.01285069,0.0122873,3,1,0,0,21.07180022,19.29525879,19.7326964,19.02130893,GAMA,0.25805,-9.999,1.33910382,1.77654143,2.05049129,0.43743761,0.71138747,0.27394986,
